序号,用户昵称,评价时间,SKU,初评内容,追评内容,评论全文,评论长度
1,t**v,2026-01-16,V1S-G 单烟机,燃气灶和油烟机很不错，安转师傅态度很好，噪音小，推荐推荐,,燃气灶和油烟机很不错，安转师傅态度很好，噪音小，推荐推荐,28
2,m**晴,2025-12-16,V1S-G+03-TEK20-G(灰) 天然气套装,还没用，安装师傅很靠谱,,还没用，安装师傅很靠谱,11
3,包**卷,2025-12-22,V1S-G 单烟机,配送准时：很好 声音大小：还可以 10多年前第一套房子用的方太，到现在第四套房子一直都选的方太，从来没有任何问题。安装专业，热情仔细。虽然还没有装加长罩，也先还个图。非常好的烟机，颜值高，清洁方便 ,,配送准时：很好 声音大小：还可以 10多年前第一套房子用的方太，到现在第四套房子一直都选的方太，从来没有任何问题。安装专业，热情仔细。虽然还没有装加长罩，也先还个图。非常好的烟机，颜值高，清洁方便,98
4,匿名买家,2026-01-09,V1S-G 单烟机,送货师傅服务好，送货及时,,送货师傅服务好，送货及时,12
7,M**n,2025-12-11,V1S-G 单烟机,收到货了，快递员配送准时，送货上门，非常好,,收到货了，快递员配送准时，送货上门，非常好,21
9,满**池,2025-11-12,V1S-G 单烟机,非常不错，老房换个新油烟机，噪音也不大，很满意,,非常不错，老房换个新油烟机，噪音也不大，很满意,23
10,平**乐,2025-11-24,V1S-G 单烟机,非常好，安装工人也很负责，而且这款设备能接入米家,,非常好，安装工人也很负责，而且这款设备能接入米家,24
12,巷**=,2025-11-20,V1S-G 单烟机,还没通气 颜值很可以 ,,还没通气 颜值很可以,10
13,x**5,2026-01-11,V1S-G+03-TEK20-G(灰) 天然气套装,油烟机和煤气灶已收到，但家里还在装修中，暂时无法安装，等装了再来追评,,油烟机和煤气灶已收到，但家里还在装修中，暂时无法安装，等装了再来追评,34
15,张**生,2025-11-15,V1S-G+03-TEK20-G(灰) 天然气套装,送货师傅服务态度很好，咨询他问题会耐心解答，值得表扬，点个赞👍👍👍👍👍👍,,送货师傅服务态度很好，咨询他问题会耐心解答，值得表扬，点个赞👍👍👍👍👍👍,36
16,用**6,2025-10-29,V1S-G+03-TEK20-G 天然气套装,方太抽油机天然气灶颜值高，质量好，静音又抽烟，值得拥有,,方太抽油机天然气灶颜值高，质量好，静音又抽烟，值得拥有,27
17,h**v,2025-11-14,V1S-G 单烟机,很好用，风力很大。安装师傅上门安装拆旧换新，没有收费。服务很好。,,很好用，风力很大。安装师傅上门安装拆旧换新，没有收费。服务很好。,32
18,匿名买家,2025-12-14,V1S-G 单烟机,安装师傅态度好,,安装师傅态度好,7
19,匿名买家,2025-11-07,V1S-G 单烟机,是否易清洗：是的 声音大小：小 配送准时：准时 东西很好，是正品，下次继续购买 ,,是否易清洗：是的 声音大小：小 配送准时：准时 东西很好，是正品，下次继续购买,39
20,我**丽,2025-10-27,V1S-G 28m³·min 星空灰色,物流速度，师傅安装快捷，大牌信得过，方太产品老百姓的家庭首选，赞赞赞,,物流速度，师傅安装快捷，大牌信得过，方太产品老百姓的家庭首选，赞赞赞,34
21,焦**8,2025-12-08,V1S-G 单烟机,相信方太的专业,,相信方太的专业,7
22,#**开,2025-11-04,V1S-G+02-TE21 天然气套装,用了两次吸烟效果挺好的，肉眼可见的没跑烟，比我之前的好太多了，安装师傅也很专业，装完后还给我灶台擦得干干净净,,用了两次吸烟效果挺好的，肉眼可见的没跑烟，比我之前的好太多了，安装师傅也很专业，装完后还给我灶台擦得干干净净,54
23,匿名买家,2025-11-19,V1S-G 单烟机,烟机还不错，使用清洗很方便,,烟机还不错，使用清洗很方便,13
24,玮***,2025-11-18,V1S-G 单烟机,买到喜欢的油烟机太棒了，感谢客服不厌其烦的为我服务。这一套使用下来得心应手。,,买到喜欢的油烟机太棒了，感谢客服不厌其烦的为我服务。这一套使用下来得心应手。,38
25,女**),2025-11-15,V1S-G+03-TEK20-G(灰) 天然气套装,安装师傅按的非常好，态度好。,,安装师傅按的非常好，态度好。,14
26,不**代,2025-11-06,V1S-G 单烟机,物流很快，宝贝高端大气上档次，师傅安装很熟练，运转平稳，声音不大，容易清洗,,物流很快，宝贝高端大气上档次，师傅安装很熟练，运转平稳，声音不大，容易清洗,37
27,洗**王,2025-12-06,V1S-G 单烟机,安装师傅专业,,安装师傅专业,6
28,匿名买家,2025-11-13,V1S-G+03-TEK20-G(灰) 天然气套装,客服服务态度好，物流给力，退差价良心商家,,客服服务态度好，物流给力，退差价良心商家,20
29,r**g,2025-11-21,V1S-G 单烟机,选了三个月，还请小哥哥上门帮看尺寸，做好所有下的单，好用，操作简便，清洗简单易行，风力足够，好用好用,,选了三个月，还请小哥哥上门帮看尺寸，做好所有下的单，好用，操作简便，清洗简单易行，风力足够，好用好用,50
30,树**猫,2025-11-02,V1S-G 单烟机,安装师傅很负责，防火止逆阀安装的非常仔细。,,安装师傅很负责，防火止逆阀安装的非常仔细。,21
31,c**i,2025-10-12,V1S-G 顶侧一体 灰色【热销】,外观漂亮，配送很快，安装师傅也很及时安装，简单好清洗,,外观漂亮，配送很快，安装师傅也很及时安装，简单好清洗,26
33,用**4,2025-11-04,V1S-G+03-TEK20(黑) 天然气套装,方太值得信赖，质量不错,,方太值得信赖，质量不错,11
34,我**星,2025-11-21,V1S-G+02-TE21 天然气套装,物流挺快的，送货上门,,物流挺快的，送货上门,10
35,小**e,2025-11-09,V1S-G+03-TEK20-G(灰) 天然气套装,师傅按时送到,,师傅按时送到,6
37,正**角,2025-09-30,V1S-G 28m³·min 星空灰色,观望了很久入手入手了这款烟机灶，外观大气百搭，性能也不错，性价比很棒。,,观望了很久入手入手了这款烟机灶，外观大气百搭，性能也不错，性价比很棒。,35
39,。**。,2025-09-30,V1S-G 顶侧一体 灰色【热销】,外观不错，还没入住使用不知道效果。提醒已经做好柜子的亲注意下，这个机器上边的烟管没在中间 是偏的。,,外观不错，还没入住使用不知道效果。提醒已经做好柜子的亲注意下，这个机器上边的烟管没在中间 是偏的。,49
40,可**滴,2025-10-20,V1S-G 单烟机,好👌评！值得信赖的大品牌！,,好👌评！值得信赖的大品牌！,13
42,h**y,2025-12-16,V1S-G 单烟机,感觉不错！,,感觉不错！,5
43,宇**油,2025-09-27,V1S-G 顶侧一体 灰色【热销】,方太的服务太好了  安装师傅也专业  油烟机和热水器一起安装  非常专业 推荐大家选方太,真是 太好了 ,方太的服务太好了  安装师傅也专业  油烟机和热水器一起安装  非常专业 推荐大家选方太 真是 太好了,51
44,i**n,2025-09-10,28m³·min 星空灰色 热卖V1S-G,方太的服务从客服到按装都非常好！ 配送准时：按时 是否易清洗：是 声音大小：通过 ,,方太的服务从客服到按装都非常好！ 配送准时：按时 是否易清洗：是 声音大小：通过,40
46,痒**树,2025-10-24,V1S-G 单烟机,用着挺好，音量小，风量大,,用着挺好，音量小，风量大,12
47,长**烈,2025-11-04,V1S-G 单烟机,安装售后师傅棒棒哒！,,安装售后师傅棒棒哒！,10
48,T**3,2025-09-21,28m³·min 星空灰色 热卖V1S-G,油烟机吸力大满意，购买过程有波折，但完美解决，感谢！,,油烟机吸力大满意，购买过程有波折，但完美解决，感谢！,26
49,茂**福,2025-10-18,V1S-G 顶侧一体 灰色【热销】,配送准时：安装师傅快很专业，态度特别好,,配送准时：安装师傅快很专业，态度特别好,19
50,匿名买家,2025-10-29,V1S-G+03-TEK20-G 天然气套装,很好，服务也好,,很好，服务也好,7
51,我**0,2025-10-04,V1S-G 顶侧一体 灰色【热销】,师傅安装即使，态度好，安装完成了还很耐心讲解了怎么使用,,师傅安装即使，态度好，安装完成了还很耐心讲解了怎么使用,27
52,t**v,2025-09-03,V1S-G 28m³·min 星空灰色,购买过程非常愉快，由于房子还未装修出来，又想赶上 618 活动，和商家沟通延迟发货，愉快的帮忙解决了，赞赞赞,,购买过程非常愉快，由于房子还未装修出来，又想赶上 618 活动，和商家沟通延迟发货，愉快的帮忙解决了，赞赞赞,54
54,空**6,2025-10-02,V1S-G 顶侧一体 灰色【热销】,吸力超强，炒菜不用走有油烟味，用中档或者弱档风就行。也很小巧精致。,,吸力超强，炒菜不用走有油烟味，用中档或者弱档风就行。也很小巧精致。,33
56,匿名买家,2025-08-30,V1S-G 28m³·min 星空灰色,是否易清洗：很容易卸下来清洗🧽 声音大小：适中 配送准时：配送准时，安装顺利,,是否易清洗：很容易卸下来清洗🧽 声音大小：适中 配送准时：配送准时，安装顺利,38
57,么**兔,2025-08-29,28m³·min 星空灰色 带其它配件,烟灶联动还是挺不错的，一开火自动抽油烟，或者挥手感应开关，感觉挺牛。吸烟效果还不知道，待后期使用看效果。,,烟灶联动还是挺不错的，一开火自动抽油烟，或者挥手感应开关，感觉挺牛。吸烟效果还不知道，待后期使用看效果。,52
58,借**a,2025-08-21,V1S-G 28m³·min 星空灰色,还没开始打柜子，所以还没有安装，先上个图吧,,还没开始打柜子，所以还没有安装，先上个图吧,21
59,M**6,2025-09-11,28m³·min 星空灰色 热卖V1S-G,配送服务非常好，物流超级快,,配送服务非常好，物流超级快,13
